year,start_dt,end_dt
2023,2023-03-30,2023-10-01
2022,2022-04-07,2022-10-02
2021,2021-04-01,2021-10-03
2020,2020-07-23,2020-09-27
2019,2019-03-28,2019-09-29
2018,2018-03-29,2018-09-30
2017,2017-04-02,2017-10-01
2016,2016-04-03,2016-10-02
2015,2015-04-05,2015-10-04
