Name,batter,PA,wOBA,xwOBA,sxwOBA,sxwOBA_adj,diff,diff%,BB%,K%,HR,LA,Barrels,pulled_barrels,year
Miguel Cabrera,408234,225,0.298,0.298,0.295,0.279,-0.003,-0.95,10.7,19.6,1,4.9,6,3,2023
Nelson Cruz,443558,152,0.291,0.297,0.308,0.296,0.011,3.81,3.9,30.3,5,10.2,9,3,2023
David Peralta,444482,282,0.307,0.33,0.341,0.324,0.011,3.19,5.0,16.3,7,8.7,13,7,2023
Manny Pina,444489,12,0.315,0.256,0.389,0.373,0.133,51.78,0.0,25.0,1,0.9,0,0,2023
Evan Longoria,446334,178,0.339,0.355,0.35,0.341,-0.005,-1.34,9.0,32.6,11,17.5,14,8,2023
Charlie Blackmon,453568,242,0.336,0.334,0.336,0.326,0.002,0.5,8.7,13.6,5,19.7,11,7,2023
Martin Maldonado,455117,278,0.245,0.258,0.256,0.247,-0.002,-0.91,6.8,32.7,8,17.2,14,6,2023
Donovan Solano,456781,299,0.341,0.351,0.338,0.327,-0.013,-3.75,11.0,22.4,4,13.1,11,3,2023
Andrew McCutchen,457705,373,0.35,0.354,0.37,0.359,0.016,4.41,16.1,20.6,10,12.9,16,4,2023
Justin Turner,457759,441,0.36,0.351,0.344,0.333,-0.007,-1.88,8.8,16.1,17,15.4,20,12,2023
Joey Votto,458015,138,0.352,0.332,0.358,0.347,0.026,7.89,10.1,28.3,11,15.6,14,9,2023
Elvis Andrus,462101,258,0.251,0.277,0.291,0.276,0.014,5.22,8.1,17.4,2,6.6,4,2,2023
Carlos Santana,467793,419,0.312,0.307,0.313,0.3,0.006,1.97,11.2,17.4,13,12.6,17,16,2023
Brandon Belt,474832,296,0.348,0.315,0.311,0.306,-0.004,-1.25,15.2,35.1,9,19.8,17,6,2023
Yuli Gurriel,493329,259,0.312,0.283,0.295,0.282,0.012,4.3,8.5,11.6,3,18.1,3,1,2023
Miguel Rojas,500743,276,0.251,0.292,0.298,0.283,0.006,1.89,6.5,12.3,1,12.0,5,2,2023
Eduardo Escobar,500871,210,0.285,0.267,0.285,0.273,0.018,6.85,6.2,21.9,5,13.8,7,5,2023
Ehire Adrianza,501303,11,0.063,0.157,0.158,0.147,0.001,0.45,9.1,36.4,0,11.2,0,0,2023
Tommy Pham,502054,268,0.349,0.388,0.397,0.384,0.009,2.25,11.2,21.6,10,8.0,23,8,2023
J.D. Martinez,502110,365,0.361,0.376,0.369,0.36,-0.007,-1.89,6.8,30.7,25,18.2,39,13,2023
Paul Goldschmidt,502671,475,0.354,0.374,0.384,0.373,0.01,2.76,11.8,21.9,18,13.0,37,11,2023
Sandy Leon,506702,44,0.173,0.172,0.186,0.176,0.014,8.08,2.3,45.5,0,17.7,1,0,2023
Jose Altuve,514888,173,0.373,0.347,0.359,0.342,0.012,3.33,13.3,17.3,7,10.7,10,5,2023
Jean Segura,516416,326,0.25,0.28,0.293,0.274,0.013,4.8,6.7,14.4,3,2.9,9,2,2023
Starling Marte,516782,333,0.285,0.321,0.319,0.304,-0.002,-0.68,4.8,19.8,5,6.8,14,4,2023
Charlie Culberson,518586,1,0.884,0.059,0.068,0.011,0.009,15.75,0.0,0.0,0,-19.6,0,0,2023
Travis d'Arnaud,518595,172,0.34,0.357,0.372,0.36,0.015,4.26,8.1,21.5,9,8.0,14,6,2023
Josh Donaldson,518626,120,0.277,0.349,0.342,0.329,-0.007,-2.06,10.0,26.7,10,11.1,15,9,2023
Freddie Freeman,518692,491,0.426,0.422,0.418,0.409,-0.004,-0.84,10.4,17.3,22,16.1,43,12,2023
Yasmani Grandal,518735,308,0.305,0.286,0.331,0.319,0.045,15.76,8.1,22.4,8,10.2,13,7,2023
Jason Heyward,518792,244,0.352,0.325,0.324,0.312,-0.001,-0.3,11.9,19.7,11,15.1,15,5,2023
DJ LeMahieu,518934,370,0.293,0.313,0.318,0.302,0.005,1.5,9.2,23.0,8,4.6,13,2,2023
Mike Moustakas,519058,248,0.334,0.309,0.317,0.308,0.008,2.49,8.5,25.8,9,18.3,12,9,2023
Anthony Rizzo,519203,421,0.313,0.319,0.324,0.314,0.005,1.6,8.3,23.0,12,17.8,19,10,2023
Giancarlo Stanton,519317,239,0.308,0.34,0.345,0.333,0.005,1.58,8.4,24.3,16,12.1,24,12,2023
Salvador Perez,521692,404,0.305,0.325,0.323,0.313,-0.002,-0.73,3.2,24.3,17,15.7,28,14,2023
Wilmer Flores,527038,272,0.382,0.327,0.344,0.336,0.017,5.14,8.1,15.8,14,25.3,16,9,2023
Avisail Garcia,541645,90,0.277,0.317,0.323,0.31,0.006,1.97,5.6,28.9,3,11.9,7,2,2023
Christian Bethancourt,542194,238,0.262,0.27,0.268,0.254,-0.002,-0.72,4.2,26.1,7,12.0,14,1,2023
Carlos Perez,542208,140,0.294,0.31,0.284,0.274,-0.026,-8.39,7.9,19.3,5,17.5,6,4,2023
Marcell Ozuna,542303,361,0.329,0.367,0.349,0.337,-0.018,-4.98,9.4,23.5,22,14.8,36,15,2023
Rafael Ortega,542364,11,0.063,0.163,0.124,0.104,-0.039,-23.76,9.1,27.3,0,4.8,0,0,2023
Jesus Aguilar,542583,115,0.282,0.244,0.263,0.254,0.019,7.93,7.0,27.0,5,16.3,5,2,2023
Jon Berti,542932,302,0.309,0.314,0.333,0.318,0.019,6.09,5.6,18.2,2,4.0,9,0,2023
Brandon Crawford,543063,239,0.28,0.291,0.294,0.282,0.003,1.13,8.4,25.5,6,13.1,16,9,2023
C.J. Cron,543068,241,0.329,0.357,0.341,0.329,-0.016,-4.56,6.2,21.2,11,12.6,26,10,2023
Yan Gomes,543228,269,0.328,0.313,0.326,0.317,0.013,4.19,4.5,19.3,9,17.0,17,7,2023
Robbie Grossman,543257,288,0.296,0.287,0.306,0.298,0.019,6.75,10.4,24.0,7,20.2,12,9,2023
Josh Harrison,543281,114,0.249,0.278,0.274,0.256,-0.004,-1.41,2.6,17.5,2,10.7,2,2,2023
Aaron Hicks,543305,228,0.308,0.278,0.289,0.277,0.011,3.87,11.8,24.1,7,14.2,7,3,2023
Kyle Higashioka,543309,186,0.272,0.301,0.293,0.281,-0.008,-2.73,4.8,28.5,6,15.9,14,6,2023
Eric Hosmer,543333,100,0.27,0.249,0.232,0.215,-0.017,-6.93,6.0,25.0,2,3.4,4,0,2023
Drew Maggi,543482,6,0.355,0.409,0.386,0.379,-0.023,-5.66,0.0,16.7,0,22.0,1,0,2023
James McCann,543510,137,0.246,0.304,0.286,0.275,-0.018,-6.01,2.2,24.1,3,17.5,7,3,2023
Brad Miller,543543,67,0.301,0.309,0.313,0.3,0.004,1.39,14.9,16.4,1,7.7,3,2,2023
Austin Nola,543592,154,0.22,0.261,0.268,0.255,0.007,2.54,11.7,20.1,1,15.0,1,0,2023
Anthony Rendon,543685,183,0.312,0.358,0.358,0.347,-0.0,-0.07,13.7,14.8,2,16.2,6,2,2023
Marcus Semien,543760,508,0.348,0.331,0.343,0.332,0.012,3.76,9.4,13.0,17,19.3,21,14,2023
George Springer,543807,460,0.306,0.336,0.341,0.327,0.005,1.46,8.3,17.8,13,11.1,28,12,2023
Christian Vazquez,543877,240,0.265,0.284,0.293,0.282,0.009,3.12,8.3,22.1,3,9.4,5,3,2023
Kolten Wong,543939,216,0.216,0.26,0.256,0.244,-0.004,-1.5,7.4,21.3,2,13.5,2,0,2023
Ildemaro Vargas,545121,120,0.294,0.312,0.329,0.307,0.017,5.38,5.0,6.7,2,2.5,4,3,2023
Randal Grichuk,545341,279,0.366,0.333,0.33,0.318,-0.003,-0.91,6.8,21.1,9,16.8,13,6,2023
Jake Marisnick,545350,83,0.295,0.281,0.291,0.28,0.01,3.38,3.6,25.3,2,21.9,3,0,2023
Mike Trout,545361,358,0.37,0.391,0.376,0.368,-0.015,-3.93,12.6,28.8,18,19.2,33,13,2023
Bryce Harper,547180,332,0.348,0.36,0.359,0.346,-0.001,-0.17,13.0,23.2,5,7.0,24,9,2023
Roberto Perez,547379,17,0.186,0.265,0.284,0.272,0.019,7.24,11.8,35.3,0,2.2,0,0,2023
Jose Abreu,547989,445,0.287,0.299,0.306,0.293,0.007,2.29,7.0,22.5,10,10.8,22,8,2023
Elias Diaz,553869,361,0.331,0.31,0.302,0.288,-0.008,-2.5,7.8,21.1,10,12.7,18,10,2023
Omar Narvaez,553882,64,0.243,0.315,0.332,0.324,0.017,5.46,12.5,15.6,1,23.0,3,1,2023
Eugenio Suarez,553993,464,0.318,0.347,0.344,0.336,-0.003,-0.85,9.9,28.9,16,19.4,34,11,2023
Gio Urshela,570482,228,0.307,0.288,0.316,0.3,0.028,9.7,4.4,15.8,2,8.6,7,1,2023
Jonathan Schoop,570731,151,0.249,0.281,0.276,0.264,-0.005,-1.68,8.6,24.5,0,11.2,4,3,2023
Nolan Arenado,571448,441,0.349,0.326,0.339,0.327,0.013,4.08,6.8,18.1,22,18.2,29,18,2023
Tucker Barnhart,571466,121,0.254,0.239,0.235,0.225,-0.004,-1.59,9.9,33.1,1,16.5,1,0,2023
Kyle Farmer,571657,244,0.305,0.326,0.329,0.318,0.003,0.81,5.7,25.4,6,12.7,13,8,2023
Billy Hamilton,571740,2,0.0,0.004,-0.026,-0.027,-0.03,-739.25,0.0,50.0,0,,0,0,2023
Mitch Haniger,571745,160,0.285,0.336,0.31,0.299,-0.026,-7.78,5.6,26.3,4,16.7,12,5,2023
Enrique Hernandez,571771,345,0.272,0.253,0.265,0.252,0.012,4.59,6.7,19.7,6,17.5,9,7,2023
Jake Lamb,571875,54,0.267,0.277,0.267,0.256,-0.01,-3.67,5.6,27.8,2,12.0,2,1,2023
Luke Maile,571912,124,0.3,0.308,0.307,0.293,-0.001,-0.23,5.6,25.8,4,13.9,10,3,2023
Shelby Miller,571946,1,0.0,0.033,0.057,0.008,0.024,72.23,0.0,0.0,0,-11.1,0,0,2023
Max Muncy,571970,379,0.347,0.377,0.387,0.38,0.01,2.77,16.1,27.4,27,22.2,38,20,2023
Wil Myers,571976,141,0.243,0.251,0.258,0.248,0.007,2.85,8.5,34.0,3,10.5,5,2,2023
Chris Owings,572008,25,0.141,0.129,0.108,0.097,-0.021,-16.53,0.0,48.0,0,20.1,0,0,2023
A.J. Pollock,572041,141,0.233,0.265,0.291,0.277,0.026,9.99,6.4,22.0,5,13.0,7,4,2023
Jon Singleton,572138,32,0.159,0.168,0.171,0.157,0.003,1.97,9.4,34.4,0,12.3,0,0,2023
Michael A. Taylor,572191,281,0.298,0.308,0.294,0.284,-0.014,-4.53,5.3,33.8,13,12.4,21,10,2023
Trayce Thompson,572204,91,0.292,0.322,0.302,0.296,-0.02,-6.27,16.5,44.0,5,23.1,8,2,2023
Luke Voit,572228,74,0.251,0.285,0.273,0.265,-0.012,-4.33,5.4,36.5,0,12.5,3,1,2023
Christian Walker,572233,450,0.36,0.335,0.337,0.325,0.002,0.47,10.0,18.9,22,16.9,32,10,2023
Mike Zunino,572287,140,0.261,0.243,0.249,0.242,0.006,2.57,10.7,43.6,3,15.1,5,2,2023
Matt Carpenter,572761,207,0.273,0.298,0.281,0.276,-0.017,-5.57,15.5,29.5,4,25.0,13,7,2023
Corey Dickerson,572816,152,0.277,0.285,0.301,0.286,0.016,5.7,4.6,18.4,2,9.4,4,2,2023
Darin Ruf,573131,57,0.287,0.361,0.352,0.339,-0.009,-2.58,14.0,28.1,0,7.5,4,1,2023
Mike Yastrzemski,573262,285,0.322,0.329,0.343,0.335,0.014,4.18,10.2,26.0,11,18.2,18,12,2023
Willson Contreras,575929,366,0.337,0.364,0.363,0.349,-0.001,-0.4,9.8,23.2,11,10.3,27,8,2023
Kris Bryant,592178,275,0.32,0.34,0.326,0.315,-0.014,-4.12,9.5,17.5,8,14.2,10,4,2023
Mark Canha,592192,315,0.314,0.325,0.322,0.309,-0.003,-0.86,10.5,16.8,6,11.3,13,6,2023
Curt Casali,592200,96,0.239,0.278,0.241,0.232,-0.037,-13.37,11.5,24.0,0,21.0,1,0,2023
Nick Castellanos,592206,454,0.328,0.322,0.315,0.304,-0.007,-2.11,5.7,26.9,15,12.2,30,9,2023
Brandon Drury,592273,307,0.349,0.321,0.33,0.318,0.009,2.89,5.2,26.1,14,12.9,24,9,2023
Aaron Judge,592450,238,0.437,0.49,0.47,0.464,-0.02,-4.04,17.6,28.2,20,20.7,40,18,2023
Manny Machado,592518,404,0.335,0.33,0.348,0.335,0.018,5.57,8.2,17.1,20,15.3,28,16,2023
Joc Pederson,592626,268,0.344,0.382,0.391,0.38,0.009,2.38,13.8,20.5,11,13.9,20,14,2023
Henry Ramos,592656,73,0.306,0.304,0.278,0.267,-0.026,-8.62,13.7,20.5,0,14.4,2,1,2023
J.T. Realmuto,592663,376,0.325,0.333,0.346,0.335,0.013,3.8,7.2,25.3,13,15.7,28,8,2023
Hunter Renfroe,592669,420,0.324,0.302,0.317,0.305,0.015,5.08,7.6,22.1,17,15.2,20,12,2023
Eddie Rosario,592696,340,0.321,0.313,0.315,0.303,0.002,0.52,6.5,25.6,16,14.4,24,13,2023
Christian Yelich,592885,460,0.368,0.377,0.386,0.37,0.009,2.34,11.1,20.2,16,4.5,29,6,2023
Whit Merrifield,593160,408,0.334,0.295,0.321,0.309,0.026,8.81,6.4,17.6,9,13.8,9,3,2023
Xander Bogaerts,593428,442,0.327,0.324,0.338,0.324,0.014,4.41,10.0,17.9,11,6.3,20,8,2023
Hanser Alberto,593643,90,0.28,0.27,0.288,0.276,0.018,6.61,4.4,14.4,3,15.5,3,2,2023
Jorge Polanco,593871,153,0.307,0.344,0.36,0.352,0.016,4.75,6.5,22.2,5,20.6,14,10,2023
Adam Duvall,594807,182,0.35,0.319,0.333,0.328,0.014,4.49,7.1,30.2,9,27.4,14,8,2023
Kevin Kiermaier,595281,294,0.323,0.316,0.339,0.323,0.023,7.42,7.5,21.4,5,6.7,8,5,2023
Chad Wallach,595453,134,0.299,0.317,0.32,0.311,0.003,0.82,9.0,34.3,7,19.3,9,2,2023
Jorge Alfaro,595751,52,0.223,0.266,0.279,0.263,0.013,5.04,3.8,28.8,1,-6.1,2,0,2023
Jurickson Profar,595777,419,0.309,0.313,0.315,0.302,0.002,0.53,9.8,18.1,7,13.8,13,6,2023
Javier Baez,595879,425,0.259,0.274,0.29,0.274,0.016,5.81,4.0,21.9,7,8.0,12,6,2023
Jake Cave,595909,98,0.257,0.261,0.25,0.239,-0.011,-4.25,7.1,25.5,1,15.6,5,2,2023
Cam Gallagher,595956,117,0.159,0.191,0.194,0.182,0.003,1.37,3.4,29.1,0,17.6,2,1,2023
Austin Hedges,595978,188,0.212,0.253,0.258,0.246,0.005,2.12,5.9,20.7,1,13.7,1,0,2023
Francisco Lindor,596019,465,0.338,0.356,0.354,0.344,-0.002,-0.6,10.1,21.3,22,18.7,36,19,2023
Rougned Odor,596059,157,0.3,0.318,0.331,0.322,0.013,4.18,10.8,23.6,4,19.9,7,4,2023
Austin Slater,596103,127,0.347,0.343,0.347,0.335,0.004,1.21,9.4,25.2,5,11.2,10,3,2023
Garrett Stubbs,596117,76,0.256,0.215,0.22,0.21,0.005,2.47,9.2,23.7,0,21.8,0,0,2023
Daniel Vogelbach,596129,226,0.313,0.307,0.294,0.281,-0.013,-4.29,13.3,24.3,7,12.8,9,7,2023
Gary Sanchez,596142,194,0.33,0.333,0.329,0.318,-0.004,-1.25,9.3,24.2,14,15.9,17,7,2023
Max Kepler,596146,299,0.314,0.338,0.333,0.322,-0.005,-1.44,7.7,21.7,15,12.6,23,13,2023
Ji-Man Choi,596847,76,0.301,0.362,0.38,0.37,0.018,4.88,2.6,35.5,6,14.6,12,6,2023
Jackie Bradley Jr.,598265,113,0.181,0.242,0.231,0.218,-0.011,-4.37,4.4,25.7,1,5.3,6,1,2023
Taylor Motter,600301,50,0.212,0.251,0.217,0.206,-0.034,-13.62,8.0,38.0,0,17.2,3,2,2023
Tommy La Stella,600303,24,0.249,0.245,0.273,0.262,0.028,11.36,12.5,20.8,0,19.2,0,0,2023
Jeimer Candelario,600869,433,0.366,0.33,0.337,0.327,0.007,2.25,8.8,20.3,16,14.7,21,14,2023
Yonathan Daza,602074,80,0.287,0.253,0.279,0.265,0.026,10.32,3.8,16.3,0,13.6,1,0,2023
Ramon Urias,602104,280,0.309,0.29,0.292,0.278,0.002,0.57,7.5,25.4,4,10.2,16,3,2023
Nick Ahmed,605113,156,0.264,0.261,0.288,0.277,0.027,10.27,5.1,23.7,2,10.9,3,3,2023
