Name,batter,PA,wOBA,xwOBA,sxwOBA,sxwOBA_adj,diff,diff%,BB%,K%,HR,LA,Barrels,pulled_barrels,year
Brian Anderson,605119,334,0.305,0.319,0.319,0.308,-0.0,-0.05,10.5,29.6,9,9.4,21,2,2023
Austin Barnes,605131,129,0.168,0.247,0.248,0.236,0.001,0.28,7.8,23.3,0,5.3,2,0,2023
Josh Bell,605137,403,0.316,0.356,0.363,0.349,0.007,1.83,11.2,20.1,12,9.1,27,12,2023
Mookie Betts,605141,473,0.403,0.405,0.404,0.395,-0.001,-0.2,13.7,15.9,29,20.8,42,26,2023
Victor Caratini,605170,156,0.315,0.319,0.334,0.317,0.015,4.65,10.9,21.8,5,9.7,6,5,2023
J.D. Davis,605204,390,0.334,0.34,0.341,0.329,0.001,0.43,10.0,28.5,14,8.3,23,8,2023
Michael Fulmer,605242,1,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0,,0,0,2023
Michael Perez,605421,7,0.557,0.395,0.564,0.55,0.169,42.68,0.0,14.3,0,18.8,2,0,2023
Harold Castro,605612,227,0.27,0.269,0.266,0.252,-0.003,-1.15,2.6,23.8,1,9.9,6,2,2023
Orlando Arcia,606115,326,0.347,0.322,0.345,0.328,0.023,7.01,7.1,19.0,11,5.4,18,8,2023
Raimel Tapia,606132,158,0.288,0.301,0.32,0.305,0.019,6.32,9.5,24.7,3,3.3,7,2,2023
Teoscar Hernandez,606192,453,0.296,0.328,0.333,0.323,0.005,1.42,5.5,32.0,16,13.1,39,12,2023
Ketel Marte,606466,449,0.375,0.348,0.352,0.338,0.004,1.06,10.0,16.3,18,11.0,28,12,2023
Eric Haase,606992,263,0.223,0.254,0.264,0.253,0.01,4.09,5.3,27.8,3,13.4,9,2,2023
Brandon Nimmo,607043,466,0.343,0.353,0.371,0.358,0.018,4.98,11.2,22.5,15,11.4,28,19,2023
Jace Peterson,607054,331,0.285,0.292,0.298,0.286,0.006,1.9,10.9,23.9,6,14.7,12,7,2023
Trea Turner,607208,480,0.286,0.302,0.283,0.272,-0.019,-6.24,6.7,24.0,10,13.7,20,9,2023
Matt Beaty,607461,15,0.355,0.3,0.267,0.255,-0.033,-11.1,6.7,20.0,0,1.0,0,0,2023
Kevin Pillar,607680,123,0.305,0.31,0.345,0.336,0.035,11.31,4.1,23.6,6,19.1,9,7,2023
Jacob Stallings,607732,176,0.254,0.266,0.267,0.254,0.001,0.39,9.7,25.0,1,6.1,7,3,2023
Jose Ramirez,608070,468,0.358,0.358,0.373,0.361,0.015,4.17,10.3,10.0,18,19.7,28,19,2023
Alex Bregman,608324,482,0.337,0.34,0.351,0.34,0.011,3.31,12.4,12.2,18,19.5,20,12,2023
Joey Gallo,608336,272,0.315,0.301,0.305,0.3,0.004,1.31,12.9,42.6,17,27.9,23,17,2023
Carson Kelly,608348,78,0.193,0.196,0.22,0.205,0.024,12.04,3.8,26.9,1,9.5,0,0,2023
Chris Okey,608360,2,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0,,0,0,2023
Corey Seager,608369,306,0.434,0.438,0.429,0.416,-0.009,-2.13,9.8,17.3,16,12.4,43,14,2023
Jesse Winker,608385,197,0.27,0.286,0.267,0.257,-0.019,-6.63,13.2,25.9,1,13.6,5,2,2023
Tom Murphy,608596,142,0.384,0.373,0.362,0.351,-0.011,-2.88,5.6,27.5,8,13.5,15,7,2023
Travis Jankowski,608671,214,0.351,0.318,0.35,0.334,0.032,10.14,12.6,13.6,1,6.3,0,0,2023
Rob Refsnyder,608701,184,0.337,0.357,0.364,0.354,0.007,1.88,13.6,20.1,1,12.1,5,1,2023
Matt Reynolds,608703,5,0.177,0.139,0.15,0.15,0.011,7.71,0.0,60.0,0,36.4,0,0,2023
Joey Meneses,608841,434,0.315,0.277,0.298,0.282,0.021,7.65,5.8,19.6,8,9.0,18,6,2023
Miguel Andujar,609280,33,0.256,0.287,0.319,0.306,0.032,11.26,6.1,15.2,2,0.9,3,2,2023
Jason Vosler,613564,65,0.242,0.216,0.244,0.237,0.028,13.02,4.6,38.5,3,25.8,3,2,2023
Franchy Cordero,614173,71,0.287,0.291,0.282,0.269,-0.009,-3.05,2.8,35.2,6,8.8,7,3,2023
Franmil Reyes,614177,65,0.227,0.262,0.248,0.236,-0.014,-5.25,6.2,36.9,2,-2.1,6,4,2023
Luis Torrens,620443,22,0.282,0.242,0.253,0.249,0.011,4.39,4.5,36.4,0,25.7,0,0,2023
Dansby Swanson,621020,418,0.349,0.363,0.361,0.349,-0.002,-0.52,10.8,24.4,16,12.1,35,10,2023
Kevin Newman,621028,236,0.307,0.316,0.342,0.327,0.026,8.13,7.2,13.1,3,12.9,5,4,2023
Chris Taylor,621035,240,0.313,0.309,0.321,0.314,0.012,3.87,9.2,33.8,12,22.6,16,9,2023
Carlos Correa,621043,426,0.298,0.32,0.323,0.31,0.003,0.91,9.4,23.0,12,10.6,28,12,2023
David Dahl,621311,9,0.224,0.353,0.318,0.307,-0.035,-9.95,0.0,22.2,1,14.0,1,0,2023
Brett Phillips,621433,16,0.186,0.232,0.247,0.236,0.015,6.41,18.8,50.0,0,-0.4,0,0,2023
Tyrone Taylor,621438,98,0.204,0.273,0.278,0.266,0.005,1.71,2.0,24.5,3,16.6,4,2,2023
Byron Buxton,621439,347,0.312,0.32,0.321,0.313,0.001,0.29,10.1,31.4,17,20.1,29,12,2023
Edwin Rios,621458,34,0.22,0.274,0.29,0.286,0.016,6.01,14.7,47.1,1,20.9,1,0,2023
D.J. Stewart,621466,34,0.36,0.377,0.35,0.34,-0.027,-7.07,14.7,20.6,1,14.9,2,1,2023
Taylor Ward,621493,409,0.33,0.338,0.352,0.339,0.014,4.08,9.5,19.6,14,14.3,23,11,2023
Tomas Nido,621512,61,0.128,0.179,0.181,0.167,0.002,1.19,3.3,29.5,0,5.7,0,0,2023
Anthony Bemboom,621532,13,0.243,0.2,0.201,0.189,0.001,0.68,15.4,15.4,0,18.3,0,0,2023
Zach Remillard,621545,108,0.3,0.268,0.298,0.287,0.03,11.3,7.4,28.7,1,13.1,1,1,2023
Patrick Wisdom,621550,250,0.336,0.348,0.358,0.35,0.01,2.75,11.2,37.2,19,20.1,26,14,2023
Joey Wendle,621563,230,0.264,0.263,0.28,0.263,0.017,6.44,4.3,21.7,1,2.6,5,1,2023
Matt Olson,621566,473,0.402,0.396,0.389,0.38,-0.007,-1.86,14.2,26.2,37,17.4,53,19,2023
Matt Duffy,622110,145,0.296,0.303,0.31,0.295,0.007,2.22,5.5,18.6,1,11.7,3,1,2023
Josh Sborz,622250,1,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0,,0,0,2023
Manuel Margot,622534,265,0.294,0.295,0.308,0.293,0.013,4.45,6.0,17.4,3,10.2,9,4,2023
Pablo Reyes,622569,77,0.3,0.312,0.322,0.311,0.01,3.3,5.2,13.0,0,18.3,3,2,2023
Jorge Mateo,622761,282,0.26,0.287,0.307,0.294,0.02,6.96,6.0,24.5,6,10.1,12,6,2023
Tyler Heineman,623168,30,0.305,0.295,0.251,0.243,-0.044,-14.86,16.7,20.0,0,23.0,0,0,2023
Andrew Velazquez,623205,69,0.269,0.234,0.241,0.229,0.007,2.88,11.6,29.0,1,11.1,1,1,2023
Josh Lester,623507,23,0.184,0.211,0.191,0.169,-0.02,-9.51,4.3,30.4,0,-1.6,0,0,2023
Harold Ramirez,623912,289,0.334,0.321,0.325,0.308,0.004,1.17,6.6,19.4,9,7.2,10,0,2023
Anthony Santander,623993,451,0.342,0.323,0.334,0.324,0.011,3.26,9.1,23.3,19,21.6,32,20,2023
Pete Alonso,624413,424,0.349,0.376,0.374,0.363,-0.002,-0.44,9.0,20.8,31,16.8,41,11,2023
Christian Arroyo,624414,206,0.275,0.269,0.291,0.277,0.022,8.22,3.4,21.8,3,11.1,7,3,2023
Cavan Biggio,624415,174,0.296,0.302,0.293,0.283,-0.009,-2.96,8.0,29.9,7,16.7,13,5,2023
Michael Conforto,624424,365,0.321,0.328,0.321,0.31,-0.007,-1.99,10.7,23.0,13,11.4,18,9,2023
Adam Frazier,624428,343,0.315,0.325,0.345,0.332,0.02,6.15,7.3,12.2,13,13.9,10,7,2023
Jose Trevino,624431,168,0.252,0.282,0.294,0.277,0.012,4.38,4.8,13.1,4,9.6,4,3,2023
Nick Gordon,624503,93,0.213,0.292,0.279,0.263,-0.013,-4.3,1.1,11.8,2,9.2,4,0,2023
Reese McGuire,624512,121,0.298,0.223,0.243,0.231,0.02,9.14,5.8,27.3,1,5.5,3,2,2023
Jorge Soler,624585,445,0.35,0.368,0.362,0.352,-0.006,-1.55,10.8,24.5,26,17.8,42,21,2023
Edmundo Sosa,624641,211,0.296,0.274,0.292,0.278,0.018,6.48,2.4,24.2,7,14.0,9,5,2023
Andy Ibanez,628451,244,0.295,0.323,0.326,0.312,0.003,0.87,4.1,18.9,7,12.7,20,6,2023
Jake Cronenworth,630105,443,0.297,0.299,0.306,0.295,0.007,2.19,9.7,19.2,8,15.7,12,9,2023
Jackson Frazier,640449,76,0.257,0.258,0.269,0.259,0.011,4.34,13.2,30.3,0,11.4,0,0,2023
Austin Meadows,640457,21,0.228,0.222,0.222,0.201,-0.0,-0.2,0.0,14.3,0,16.7,0,0,2023
Oscar Mercado,640458,32,0.304,0.274,0.285,0.274,0.011,3.86,3.1,12.5,0,22.8,0,0,2023
Jose Azocar,640492,55,0.231,0.264,0.288,0.274,0.024,9.21,1.8,20.0,0,11.0,1,0,2023
Tim Anderson,641313,369,0.257,0.296,0.301,0.281,0.005,1.68,5.1,20.9,1,1.0,9,1,2023
Jake Bauers,641343,183,0.329,0.371,0.353,0.345,-0.018,-4.72,10.4,31.7,9,15.1,22,9,2023
Cody Bellinger,641355,333,0.38,0.331,0.358,0.347,0.027,8.21,7.5,15.6,16,17.8,16,9,2023
Willie Calhoun,641432,149,0.308,0.304,0.308,0.295,0.004,1.22,9.4,13.4,5,11.9,4,4,2023
J.P. Crawford,641487,436,0.349,0.336,0.345,0.334,0.009,2.76,14.9,18.8,9,13.9,10,7,2023
Jonathan Davis,641505,104,0.299,0.296,0.32,0.308,0.024,8.23,6.7,27.9,2,7.1,3,1,2023
Jason Delay,641511,120,0.312,0.28,0.307,0.294,0.027,9.62,7.5,25.0,1,13.3,3,3,2023
Brandon Dixon,641525,86,0.249,0.242,0.238,0.228,-0.004,-1.6,1.2,36.0,2,16.5,4,1,2023
Hunter Dozier,641531,91,0.247,0.243,0.276,0.266,0.033,13.62,8.8,31.9,2,12.3,2,2,2023
Adam Engel,641553,6,0.0,0.085,0.029,0.013,-0.056,-66.23,0.0,33.3,0,34.1,0,0,2023
Jake Fraley,641584,327,0.35,0.332,0.366,0.354,0.034,10.19,10.1,18.0,15,15.8,16,12,2023
Mitch Garver,641598,147,0.353,0.349,0.333,0.324,-0.016,-4.48,11.6,29.3,7,14.5,12,8,2023
Luis Guillorme,641645,114,0.284,0.237,0.273,0.261,0.036,15.24,8.8,24.6,1,10.9,1,1,2023
Garrett Hampson,641658,156,0.324,0.299,0.321,0.31,0.022,7.39,7.7,26.3,1,15.6,3,2,2023
Jonah Heim,641680,359,0.348,0.344,0.348,0.337,0.004,1.17,7.8,17.3,14,18.7,23,13,2023
Kyle Lewis,641786,35,0.234,0.221,0.253,0.249,0.032,14.67,5.7,31.4,1,28.8,2,1,2023
