Name,key_mlbam,PA,wOBA,xwOBA,sxwOBA,diff,diff%,BB%,K%,HR,LA,Barrels,pulled_barrels,year
Mark Mathias,664029,91,0.353,0.306,0.326,0.02,6.47,9.9,33.0,6,11.8,6.0,3,2022
Ty France,664034,613,0.337,0.355,0.345,-0.01,-2.8,5.7,15.3,20,10.1,25.0,11,2022
Brandon Lowe,664040,266,0.306,0.322,0.322,-0.0,-0.01,10.2,22.9,8,16.6,18.0,0,2022
David Fletcher,664058,228,0.275,0.301,0.31,0.009,2.83,3.1,7.0,2,15.0,0.0,0,2022
Sam Haggerty,664059,201,0.32,0.292,0.313,0.021,7.19,9.0,26.4,5,13.6,5.0,2,2022
Kyle Garlick,664247,162,0.311,0.321,0.318,-0.003,-0.95,4.9,29.6,9,15.1,10.0,6,2022
Myles Straw,664702,596,0.257,0.279,0.281,0.002,0.81,9.1,14.6,0,9.8,3.0,0,2022
Kyle Isbel,664728,278,0.265,0.267,0.272,0.005,1.9,5.8,27.0,5,10.6,9.0,0,2022
Alec Bohm,664761,631,0.31,0.354,0.341,-0.012,-3.53,4.9,17.4,13,10.4,33.0,9,2022
LaMonte Wade Jr.,664774,251,0.298,0.331,0.303,-0.029,-8.68,10.4,20.3,8,21.1,16.0,0,2022
Seby Zavala,664874,205,0.323,0.3,0.312,0.012,3.92,9.3,31.2,2,22.7,11.0,4,2022
Seth Brown,664913,555,0.323,0.341,0.331,-0.01,-2.93,9.2,26.3,25,15.8,46.0,0,2022
Jake McCarthy,664983,354,0.337,0.359,0.346,-0.013,-3.62,6.5,21.5,8,8.0,12.0,0,2022
Kody Clemens,665019,127,0.22,0.247,0.254,0.006,2.57,6.3,26.0,5,17.4,5.0,0,2022
Nick Maton,665155,85,0.364,0.334,0.342,0.008,2.52,11.8,34.1,5,18.6,3.0,0,2022
Jeremy Pena,665161,558,0.309,0.327,0.328,0.0,0.09,3.9,24.2,22,8.7,38.0,13,2022
Vladimir Guerrero Jr.,665489,706,0.351,0.369,0.362,-0.007,-1.81,8.2,16.4,32,4.3,59.0,24,2022
Cristian Pache,665506,260,0.207,0.257,0.265,0.008,3.04,5.8,26.9,3,3.8,6.0,1,2022
Juan Soto,665742,664,0.376,0.396,0.384,-0.012,-2.92,20.3,14.5,27,9.1,53.0,0,2022
Leody Taveras,665750,341,0.297,0.278,0.281,0.003,0.95,6.2,25.8,5,12.0,10.0,0,2022
Oswaldo Cabrera,665828,171,0.322,0.285,0.306,0.022,7.59,8.8,25.7,6,21.5,7.0,0,2022
Oneil Cruz,665833,361,0.32,0.336,0.344,0.008,2.32,7.8,34.9,17,8.3,32.0,0,2022
Jazz Chisholm Jr.,665862,241,0.365,0.371,0.365,-0.006,-1.72,8.7,27.4,14,15.1,25.0,0,2022
Esteury Ruiz,665923,36,0.197,0.214,0.21,-0.004,-1.77,2.8,19.4,0,19.2,1.0,0,2022
Andres Gimenez,665926,557,0.364,0.363,0.361,-0.002,-0.67,6.1,20.1,17,11.7,24.0,0,2022
Josh Lowe,666139,198,0.276,0.286,0.281,-0.005,-1.61,7.6,33.3,2,11.4,6.0,0,2022
Will Benson,666181,61,0.212,0.226,0.222,-0.004,-1.77,4.9,31.1,0,10.4,0.0,0,2022
Bo Bichette,666182,697,0.347,0.347,0.359,0.012,3.33,5.9,22.2,24,8.5,48.0,15,2022
Dylan Carlson,666185,488,0.306,0.312,0.328,0.016,5.19,9.2,19.3,8,12.9,15.0,2,2022
Rodolfo Castro,666801,278,0.315,0.293,0.287,-0.006,-2.17,7.9,26.6,11,11.7,12.0,4,2022
Bobby Dalbec,666915,353,0.287,0.311,0.319,0.009,2.73,8.2,33.4,12,15.2,24.0,9,2022
Adolis Garcia,666969,657,0.324,0.329,0.328,-0.001,-0.29,6.1,27.9,27,13.1,55.0,24,2022
Lourdes Gurriel Jr.,666971,493,0.327,0.338,0.333,-0.005,-1.35,6.3,16.8,5,10.9,14.0,7,2022
Brent Rooker,667670,36,0.186,0.263,0.228,-0.035,-13.45,8.3,30.6,0,13.5,1.0,0,2022
Randy Arozarena,668227,645,0.336,0.321,0.326,0.005,1.6,7.1,24.2,20,8.9,34.0,10,2022
Nick Pratto,668472,182,0.287,0.289,0.289,-0.0,-0.06,10.4,36.3,7,19.7,12.0,0,2022
Spencer Steer,668715,108,0.287,0.293,0.281,-0.013,-4.31,10.2,24.1,2,13.6,4.0,1,2022
Akil Baddoo,668731,225,0.256,0.251,0.256,0.005,1.82,10.7,28.4,2,14.2,5.0,0,2022
Andrew Knizner,668800,293,0.275,0.292,0.284,-0.008,-2.91,8.9,21.2,4,15.6,7.0,2,2022
Bryan Reynolds,668804,614,0.349,0.34,0.342,0.002,0.6,9.1,23.0,27,12.0,32.0,3,2022
Conner Capel,668843,59,0.371,0.363,0.33,-0.033,-8.96,8.5,16.9,3,7.9,3.0,0,2022
Adley Rutschman,668939,470,0.354,0.347,0.357,0.009,2.65,13.8,18.3,13,15.6,25.0,3,2022
Josh Rojas,668942,510,0.326,0.318,0.314,-0.004,-1.34,10.8,19.2,9,11.9,16.0,0,2022
Ryan Kreidler,668952,84,0.218,0.281,0.263,-0.018,-6.32,7.1,26.2,1,14.8,4.0,1,2022
Garrett Mitchell,669003,68,0.365,0.287,0.302,0.014,5.0,8.8,41.2,2,9.5,4.0,0,2022
MJ Melendez,669004,534,0.31,0.334,0.335,0.001,0.18,12.4,24.5,18,15.1,35.0,0,2022
Brandon Marsh,669016,461,0.296,0.295,0.297,0.002,0.6,6.1,34.3,11,10.9,20.0,0,2022
