Name,key_mlbam,PA,wOBA,xwOBA,sxwOBA,diff,diff%,BB%,K%,HR,LA,Barrels,pulled_barrels,year
Miguel Cabrera,408234,433,0.275,0.277,0.278,0.002,0.57,6.5,23.3,5,5.0,14.0,5,2022
Nelson Cruz,443558,507,0.292,0.335,0.328,-0.007,-2.18,9.7,23.5,10,7.2,31.0,10,2022
David Peralta,444482,490,0.315,0.318,0.298,-0.02,-6.31,8.4,23.3,12,15.1,28.0,0,2022
Evan Longoria,446334,298,0.33,0.336,0.337,0.0,0.12,9.1,27.9,14,18.2,23.0,15,2022
Charlie Blackmon,453568,577,0.317,0.295,0.31,0.016,5.34,5.5,18.9,16,12.4,19.0,0,2022
Martin Maldonado,455117,379,0.264,0.259,0.256,-0.004,-1.44,5.8,30.6,15,14.7,19.0,7,2022
Donovan Solano,456781,304,0.319,0.328,0.309,-0.019,-5.94,6.3,20.1,4,10.7,13.0,4,2022
Andrew McCutchen,457705,580,0.309,0.339,0.337,-0.002,-0.51,9.8,21.4,17,13.2,34.0,11,2022
Justin Turner,457759,532,0.343,0.361,0.358,-0.003,-0.74,9.4,16.7,13,18.4,31.0,14,2022
Elvis Andrus,462101,577,0.31,0.301,0.319,0.018,5.99,6.8,15.9,17,11.9,20.0,9,2022
Carlos Santana,467793,506,0.308,0.348,0.342,-0.006,-1.59,14.0,17.4,19,15.4,32.0,4,2022
Brandon Belt,474832,298,0.303,0.315,0.313,-0.002,-0.73,12.4,27.2,8,23.4,22.0,0,2022
Yuli Gurriel,493329,584,0.285,0.286,0.293,0.008,2.69,5.1,12.5,8,14.6,9.0,6,2022
Miguel Rojas,500743,507,0.268,0.296,0.299,0.003,1.11,5.1,12.0,6,10.1,8.0,5,2022
Eduardo Escobar,500871,542,0.311,0.316,0.313,-0.003,-1.02,7.4,23.8,20,20.6,35.0,11,2022
Ehire Adrianza,501303,110,0.222,0.272,0.266,-0.006,-2.33,10.0,22.7,0,12.6,1.0,0,2022
Tommy Pham,502054,622,0.304,0.324,0.318,-0.006,-1.83,9.0,26.8,17,7.7,31.0,8,2022
J.D. Martinez,502110,596,0.343,0.349,0.34,-0.009,-2.53,8.7,24.3,16,14.1,49.0,14,2022
Paul Goldschmidt,502671,651,0.419,0.398,0.398,0.0,0.06,12.1,21.7,35,15.7,49.0,19,2022
Sandy Leon,506702,86,0.246,0.259,0.273,0.014,5.41,15.1,31.4,0,21.4,0.0,0,2022
Jean Segura,516416,387,0.32,0.327,0.328,0.002,0.47,6.5,15.0,10,4.3,13.0,7,2022
Starling Marte,516782,505,0.355,0.347,0.34,-0.008,-2.2,5.1,19.2,16,7.5,25.0,11,2022
Travis d'Arnaud,518595,426,0.343,0.32,0.332,0.012,3.77,4.5,21.1,18,11.8,26.0,13,2022
Josh Donaldson,518626,546,0.302,0.305,0.311,0.006,1.88,9.9,27.1,15,12.0,33.0,15,2022
Freddie Freeman,518692,708,0.393,0.409,0.399,-0.01,-2.56,11.9,14.4,21,13.6,52.0,0,2022
Yasmani Grandal,518735,376,0.263,0.271,0.273,0.002,0.91,12.0,21.0,5,12.1,12.0,0,2022
Jason Heyward,518792,151,0.253,0.284,0.28,-0.004,-1.37,7.3,21.2,1,13.1,5.0,0,2022
DJ LeMahieu,518934,541,0.329,0.347,0.341,-0.006,-1.63,12.4,13.1,12,3.0,21.0,7,2022
Mike Moustakas,519058,285,0.286,0.276,0.271,-0.005,-1.71,8.4,26.3,7,19.4,11.0,0,2022
Anthony Rizzo,519203,548,0.352,0.356,0.356,-0.001,-0.15,10.6,18.4,32,19.3,40.0,0,2022
Giancarlo Stanton,519317,452,0.327,0.333,0.34,0.007,2.22,11.1,30.3,31,10.8,51.0,14,2022
Salvador Perez,521692,473,0.324,0.335,0.329,-0.005,-1.61,3.8,23.0,23,17.8,38.0,14,2022
Wilmer Flores,527038,602,0.312,0.322,0.324,0.002,0.52,9.8,17.1,19,20.7,27.0,16,2022
Avisail Garcia,541645,380,0.258,0.298,0.287,-0.011,-3.57,4.5,28.7,8,2.8,16.0,2,2022
Christian Bethancourt,542194,333,0.301,0.333,0.333,-0.0,-0.11,3.6,24.0,11,9.4,28.0,9,2022
Marcell Ozuna,542303,507,0.298,0.339,0.335,-0.004,-1.29,6.1,24.1,23,16.5,46.0,20,2022
Jesus Aguilar,542583,507,0.288,0.299,0.292,-0.007,-2.35,5.5,23.5,16,18.9,24.0,11,2022
Jon Berti,542932,404,0.298,0.302,0.304,0.002,0.55,10.4,22.0,4,4.7,16.0,5,2022
Brandon Crawford,543063,458,0.289,0.297,0.292,-0.005,-1.7,8.5,21.4,9,12.3,21.0,0,2022
C.J. Cron,543068,632,0.335,0.326,0.328,0.002,0.47,6.8,25.9,29,14.1,45.0,22,2022
Yan Gomes,543228,293,0.271,0.294,0.301,0.007,2.39,2.7,16.0,8,9.4,8.0,7,2022
Robbie Grossman,543257,477,0.283,0.293,0.289,-0.004,-1.53,11.7,27.0,7,21.1,10.0,1,2022
Josh Harrison,543281,425,0.305,0.297,0.302,0.005,1.64,4.9,16.7,7,14.7,12.0,5,2022
Aaron Hicks,543305,453,0.292,0.314,0.32,0.006,1.88,13.7,24.1,8,14.8,16.0,3,2022
Kyle Higashioka,543309,248,0.282,0.324,0.301,-0.023,-7.13,4.8,21.0,10,17.2,18.0,6,2022
Eric Hosmer,543333,419,0.313,0.305,0.306,0.001,0.48,8.8,15.3,8,3.1,18.0,0,2022
James McCann,543510,191,0.243,0.311,0.289,-0.022,-7.01,5.8,24.1,3,16.2,8.0,3,2022
Brad Miller,543543,241,0.263,0.269,0.259,-0.01,-3.55,7.5,29.0,7,14.1,12.0,0,2022
Austin Nola,543592,397,0.29,0.308,0.31,0.002,0.73,8.6,15.1,4,12.0,7.0,3,2022
Anthony Rendon,543685,193,0.314,0.361,0.359,-0.002,-0.53,11.9,18.1,5,18.7,11.0,6,2022
Marcus Semien,543760,724,0.317,0.319,0.319,0.0,0.07,7.3,16.6,26,19.9,37.0,22,2022
George Springer,543807,583,0.352,0.354,0.364,0.01,2.76,9.3,17.2,25,13.9,35.0,14,2022
Christian Vazquez,543877,426,0.312,0.31,0.308,-0.002,-0.69,5.2,16.2,9,10.7,17.0,6,2022
Kolten Wong,543939,497,0.336,0.301,0.332,0.031,10.26,9.3,17.7,15,14.0,19.0,0,2022
Ildemaro Vargas,545121,222,0.302,0.277,0.29,0.013,4.73,3.6,10.4,4,7.4,4.0,1,2022
Mike Trout,545361,499,0.418,0.425,0.429,0.004,0.91,10.8,27.9,40,24.6,59.0,23,2022
Roberto Perez,547379,69,0.315,0.3,0.331,0.031,10.43,13.0,36.2,2,5.4,4.0,2,2022
Jose Abreu,547989,679,0.361,0.388,0.372,-0.016,-4.1,9.1,16.2,15,8.0,47.0,10,2022
Elias Diaz,553869,381,0.284,0.297,0.297,-0.0,-0.08,6.6,21.5,9,11.1,16.0,7,2022
Omar Narvaez,553882,296,0.269,0.269,0.274,0.006,2.22,9.8,19.3,4,17.7,5.0,0,2022
Eugenio Suarez,553993,629,0.344,0.346,0.346,-0.001,-0.18,11.6,31.2,31,19.9,52.0,22,2022
Gio Urshela,570482,551,0.332,0.334,0.339,0.004,1.32,7.4,17.4,13,11.8,29.0,9,2022
Jonathan Schoop,570731,510,0.245,0.286,0.287,0.0,0.02,3.7,21.0,11,9.7,18.0,11,2022
Nolan Arenado,571448,620,0.381,0.361,0.38,0.019,5.31,8.4,11.6,30,21.7,40.0,29,2022
Tucker Barnhart,571466,308,0.253,0.249,0.253,0.004,1.55,8.1,24.0,1,10.1,4.0,0,2022
Kyle Farmer,571657,583,0.309,0.316,0.316,0.0,0.04,5.7,17.0,14,12.7,19.0,10,2022
Enrique Hernandez,571771,402,0.28,0.304,0.301,-0.004,-1.15,8.5,17.7,6,17.1,17.0,6,2022
Jake Lamb,571875,111,0.314,0.317,0.302,-0.015,-4.79,9.9,34.2,3,15.0,7.0,0,2022
Luke Maile,571912,206,0.281,0.267,0.273,0.006,2.31,9.2,26.2,3,17.0,7.0,4,2022
Max Muncy,571970,565,0.318,0.348,0.341,-0.007,-2.05,15.9,25.0,21,20.9,44.0,0,2022
Wil Myers,571976,286,0.311,0.305,0.308,0.004,1.2,7.3,30.1,7,13.0,13.0,2,2022
A.J. Pollock,572041,527,0.297,0.323,0.325,0.002,0.66,6.1,18.6,14,11.8,37.0,11,2022
Michael A. Taylor,572191,456,0.297,0.304,0.29,-0.013,-4.42,7.7,23.9,9,12.1,21.0,7,2022
Trayce Thompson,572204,255,0.37,0.365,0.363,-0.003,-0.71,12.5,36.5,13,16.3,21.0,11,2022
Luke Voit,572228,568,0.311,0.319,0.318,-0.001,-0.19,9.7,31.5,22,18.4,48.0,21,2022
Christian Walker,572233,667,0.346,0.365,0.356,-0.01,-2.61,10.3,19.6,36,17.0,53.0,24,2022
Mike Zunino,572287,123,0.219,0.251,0.238,-0.012,-4.99,4.9,37.4,5,20.8,6.0,2,2022
Matt Carpenter,572761,154,0.472,0.404,0.446,0.042,10.41,12.3,22.7,15,22.4,13.0,0,2022
Corey Dickerson,572816,297,0.303,0.292,0.309,0.018,6.06,4.0,16.2,6,10.6,9.0,0,2022
Darin Ruf,573131,388,0.291,0.317,0.314,-0.003,-0.83,11.6,27.1,11,14.8,20.0,10,2022
Mike Yastrzemski,573262,558,0.307,0.315,0.31,-0.005,-1.44,10.9,25.3,17,19.9,39.0,0,2022
Willson Contreras,575929,487,0.357,0.365,0.378,0.013,3.48,9.2,21.1,22,8.5,33.0,13,2022
Kris Bryant,592178,181,0.37,0.355,0.341,-0.014,-3.81,9.4,14.9,5,13.5,9.0,3,2022
Mark Canha,592192,542,0.343,0.335,0.347,0.012,3.49,8.9,17.9,13,10.9,18.0,10,2022
Curt Casali,592200,176,0.295,0.289,0.272,-0.017,-5.98,13.6,28.4,5,25.4,6.0,3,2022
Nick Castellanos,592206,558,0.304,0.313,0.312,-0.001,-0.32,5.2,23.3,13,14.6,26.0,6,2022
Brandon Drury,592273,568,0.35,0.329,0.335,0.006,1.87,6.7,22.2,28,13.8,41.0,20,2022
Aaron Judge,592450,696,0.458,0.469,0.468,-0.001,-0.11,15.9,25.1,62,14.9,106.0,44,2022
Manny Machado,592518,644,0.382,0.373,0.373,-0.001,-0.18,9.8,20.7,32,16.0,44.0,23,2022
Joc Pederson,592626,433,0.373,0.371,0.367,-0.004,-1.06,9.7,23.1,23,14.8,43.0,0,2022
J.T. Realmuto,592663,562,0.354,0.366,0.368,0.003,0.7,7.3,21.2,22,13.1,44.0,18,2022
Hunter Renfroe,592669,522,0.347,0.339,0.345,0.007,1.95,7.5,23.2,29,17.7,39.0,17,2022
Eddie Rosario,592696,270,0.258,0.258,0.259,0.002,0.69,6.3,25.2,5,15.2,10.0,0,2022
Christian Yelich,592885,671,0.328,0.344,0.348,0.005,1.32,13.1,24.1,14,3.6,34.0,0,2022
Whit Merrifield,593160,550,0.294,0.302,0.301,-0.002,-0.55,6.9,15.5,11,15.1,18.0,11,2022
Xander Bogaerts,593428,631,0.363,0.33,0.339,0.009,2.72,9.0,18.7,15,10.2,29.0,12,2022
Hanser Alberto,593643,159,0.27,0.245,0.241,-0.004,-1.44,1.9,15.7,2,10.8,2.0,0,2022
Adam Duvall,594807,315,0.295,0.303,0.31,0.007,2.34,6.7,32.1,12,23.4,24.0,11,2022
Kevin Kiermaier,595281,221,0.286,0.317,0.324,0.007,2.13,6.3,27.6,7,5.3,10.0,0,2022
Jurickson Profar,595777,658,0.32,0.308,0.329,0.021,6.67,11.1,15.7,15,12.9,19.0,2,2022
Javier Baez,595879,590,0.291,0.298,0.306,0.008,2.84,4.4,24.9,17,9.6,33.0,16,2022
Jake Cave,595909,177,0.278,0.307,0.268,-0.039,-12.67,6.2,27.7,5,14.4,12.0,0,2022
Cam Gallagher,595956,47,0.265,0.229,0.254,0.026,11.19,6.4,27.7,0,16.3,0.0,0,2022
Austin Hedges,595978,338,0.225,0.233,0.244,0.011,4.56,7.4,23.1,7,16.7,7.0,7,2022
Francisco Lindor,596019,706,0.342,0.338,0.343,0.005,1.59,8.4,18.8,26,13.8,42.0,5,2022
Rougned Odor,596059,472,0.278,0.28,0.273,-0.007,-2.42,6.8,23.1,13,21.5,21.0,0,2022
Garrett Stubbs,596117,121,0.355,0.291,0.324,0.033,11.18,11.6,24.8,5,15.2,4.0,0,2022
Daniel Vogelbach,596129,461,0.349,0.35,0.343,-0.007,-1.91,15.8,24.7,18,15.8,29.0,0,2022
Max Kepler,596146,446,0.298,0.345,0.34,-0.004,-1.27,11.0,14.8,9,11.1,23.0,0,2022
Ji-Man Choi,596847,419,0.322,0.34,0.343,0.003,0.82,13.8,29.4,11,10.6,28.0,0,2022
Jackie Bradley Jr.,598265,370,0.252,0.267,0.258,-0.01,-3.71,6.5,20.8,4,7.4,13.0,0,2022
Tommy La Stella,600303,195,0.277,0.274,0.284,0.011,3.92,5.6,15.4,2,14.6,3.0,0,2022
Jeimer Candelario,600869,467,0.277,0.307,0.307,0.0,0.12,6.0,23.3,13,13.5,27.0,4,2022
Yonathan Daza,602074,408,0.323,0.342,0.337,-0.004,-1.26,6.4,14.2,2,4.6,6.0,3,2022
Ramon Urias,602104,445,0.313,0.324,0.322,-0.002,-0.57,6.7,22.0,16,11.0,30.0,10,2022
Nick Ahmed,605113,54,0.302,0.252,0.286,0.034,13.39,3.7,27.8,3,4.4,2.0,2,2022
Brian Anderson,605119,383,0.293,0.321,0.32,-0.002,-0.52,9.7,26.4,8,7.7,23.0,9,2022
Austin Barnes,605131,212,0.315,0.303,0.31,0.008,2.55,12.7,17.5,8,13.6,7.0,3,2022
Josh Bell,605137,647,0.344,0.356,0.348,-0.007,-2.08,12.5,15.8,17,8.3,33.0,2,2022
Mookie Betts,605141,639,0.373,0.36,0.369,0.009,2.59,8.6,16.3,35,18.6,46.0,22,2022
Victor Caratini,605170,314,0.289,0.316,0.303,-0.012,-3.94,9.9,21.3,9,6.6,13.0,3,2022
J.D. Davis,605204,365,0.333,0.374,0.358,-0.016,-4.23,10.7,33.4,12,12.3,32.0,8,2022
Harold Castro,605612,443,0.297,0.309,0.312,0.003,1.08,3.8,17.8,7,11.4,21.0,0,2022
Orlando Arcia,606115,234,0.321,0.336,0.34,0.004,1.17,9.0,21.8,9,11.7,12.0,8,2022
Raimel Tapia,606132,433,0.293,0.298,0.298,0.001,0.25,3.7,18.7,7,4.0,17.0,0,2022
Teoscar Hernandez,606192,535,0.348,0.369,0.358,-0.011,-2.97,6.4,28.4,25,11.6,52.0,16,2022
Ketel Marte,606466,558,0.317,0.32,0.322,0.002,0.73,9.9,18.1,12,13.5,24.0,1,2022
Eric Haase,606992,351,0.322,0.321,0.32,-0.001,-0.21,6.8,27.6,14,17.0,20.0,11,2022
Brandon Nimmo,607043,673,0.353,0.348,0.35,0.002,0.65,10.5,17.2,16,6.1,33.0,0,2022
Jace Peterson,607054,328,0.306,0.312,0.283,-0.029,-9.32,10.1,25.9,8,9.7,15.0,0,2022
Trea Turner,607208,708,0.35,0.355,0.356,0.001,0.35,6.4,18.5,21,10.2,40.0,14,2022
Matt Beaty,607461,47,0.158,0.245,0.224,-0.022,-8.81,4.3,17.0,0,10.5,0.0,0,2022
Kevin Pillar,607680,13,0.15,0.286,0.228,-0.058,-20.16,7.7,30.8,0,10.7,1.0,0,2022
Jacob Stallings,607732,384,0.265,0.266,0.269,0.003,1.12,7.6,21.6,4,12.9,9.0,4,2022
