,Name,PA,wOBA,xwOBA,sxwOBA,diff,diff %,BB%,K%,HR,LA,Barrels,pulled_barrels
58,Elias Diaz,381,0.284,0.296,0.297,0.001,0.31,6.6,21.5,9,11.1,16.0,7
59,Omar Narvaez,296,0.269,0.267,0.273,0.006,2.4,9.8,19.3,4,17.7,5.0,0
60,Eugenio Suarez,629,0.344,0.342,0.342,-0.0,-0.03,11.6,31.2,31,19.9,52.0,22
61,Gio Urshela,551,0.332,0.336,0.339,0.003,0.81,7.4,17.4,13,11.8,29.0,9
62,Jonathan Schoop,510,0.245,0.284,0.284,0.0,0.03,3.7,21.0,11,9.7,18.0,11
63,Nolan Arenado,620,0.381,0.36,0.38,0.019,5.39,8.4,11.6,30,21.7,40.0,29
64,Tucker Barnhart,308,0.253,0.25,0.255,0.005,2.09,8.1,24.0,1,10.1,4.0,0
65,Kyle Farmer,583,0.309,0.315,0.315,0.0,0.04,5.7,17.0,14,12.7,19.0,10
66,Enrique Hernandez,402,0.28,0.305,0.301,-0.004,-1.25,8.5,17.7,6,17.1,17.0,7
67,Jake Lamb,111,0.314,0.317,0.302,-0.015,-4.79,9.9,34.2,3,15.0,7.0,0
68,Luke Maile,206,0.281,0.271,0.28,0.008,3.02,9.2,26.2,3,17.0,7.0,4
69,Max Muncy,565,0.318,0.35,0.341,-0.009,-2.58,15.9,25.0,21,20.9,44.0,0
70,Wil Myers,286,0.311,0.313,0.314,0.001,0.18,7.3,30.1,7,13.0,13.0,3
71,A.J. Pollock,527,0.297,0.324,0.325,0.002,0.5,6.1,18.6,14,11.8,37.0,11
72,Michael A. Taylor,456,0.297,0.303,0.289,-0.014,-4.64,7.7,23.9,9,12.1,21.0,7
73,Trayce Thompson,255,0.37,0.368,0.366,-0.003,-0.81,12.5,36.5,13,16.3,21.0,12
74,Luke Voit,568,0.311,0.315,0.314,-0.001,-0.29,9.7,31.5,22,18.4,48.0,21
75,Christian Walker,667,0.346,0.364,0.356,-0.008,-2.13,10.3,19.6,36,17.0,53.0,24
